pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(a,a)",1903,15,55,105,245,312,278,231,662
"(a,b)",37,7,5,6,9,5,3,1,1
"(a,c)",1624,6,4,21,65,122,145,229,1032
"(a,d)",1248,8,23,65,122,200,232,187,411
"(a,e)",4087,16,52,167,331,495,640,656,1730
"(a,f)",39,4,3,3,6,5,7,6,5
"(a,g)",748,5,6,16,37,59,102,131,392
"(a,h)",316,5,8,28,59,51,38,43,84
"(a,i)",293,4,22,44,57,48,31,33,54
"(a,j)",1,1,0,0,0,0,0,0,0
"(a,k)",132,7,5,22,20,19,22,22,15
"(a,l)",1360,7,20,59,111,139,135,153,736
"(a,m)",899,7,13,28,55,72,107,107,510
"(a,n)",1996,7,31,95,165,219,252,246,981
"(a,o)",302,9,20,29,62,52,52,40,38
"(a,p)",147,6,9,14,11,14,14,20,59
"(a,q)",2,1,0,1,0,0,0,0,0
"(a,r)",1178,7,30,92,88,154,168,168,471
"(a,s)",5266,12,64,175,344,570,722,951,2428
"(a,t)",1465,14,27,100,161,173,185,192,613
"(a,u)",69,6,13,13,19,6,8,2,2
"(a,v)",11,2,1,2,2,0,0,1,3
"(a,w)",33,1,8,8,4,5,3,4,0
"(a,x)",81,4,8,10,6,16,8,8,21
"(a,y)",2139,8,36,68,102,136,195,254,1340
"(a,z)",16,1,1,3,3,3,2,2,1
"(b,a)",787,4,33,72,113,148,116,86,215
"(b,b)",46,4,11,5,9,6,8,2,1
"(b,c)",397,3,3,10,24,40,49,43,225
"(b,d)",1716,8,29,60,189,264,372,323,471
"(b,e)",2669,5,46,145,315,404,473,437,844
"(b,f)",64,4,8,5,8,12,10,10,7
"(b,g)",1085,6,15,14,52,173,180,193,452
"(b,h)",445,4,17,49,54,85,87,62,87
"(b,i)",224,2,19,41,53,45,30,9,25
"(b,j)",2,0,1,0,1,0,0,0,0
"(b,k)",331,1,29,32,34,72,67,59,37
"(b,l)",757,8,23,40,103,115,136,106,226
"(b,m)",476,4,10,20,46,68,79,72,177
"(b,n)",1153,5,26,69,182,184,225,175,287
"(b,o)",252,4,25,55,49,49,31,18,21
"(b,p)",175,4,5,10,27,27,33,17,52
"(b,q)",0,0,0,0,0,0,0,0,0
"(b,r)",1269,5,19,41,184,240,241,186,353
"(b,s)",4007,12,56,211,359,627,743,809,1190
"(b,t)",1100,8,46,85,145,183,230,169,234
"(b,u)",66,1,7,18,15,13,9,3,0
"(b,v)",4,0,1,2,0,0,1,0,0
"(b,w)",80,2,7,7,24,14,14,4,8
"(b,x)",38,1,0,5,8,10,6,4,4
"(b,y)",1225,4,16,139,174,174,166,131,421
"(b,z)",23,2,4,6,5,0,2,3,1
"(c,a)",1730,2,30,101,213,259,281,217,627
"(c,b)",62,3,11,17,9,7,7,6,2
"(c,c)",964,3,9,17,51,53,107,117,607
"(c,d)",2207,7,21,54,162,331,389,419,824
"(c,e)",5192,7,49,145,373,590,734,871,2423
